,Aldoc_class,Cadps2_class,Calb2_class,Col25a1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Nrn1_class,Ntng1_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Slc6a1_class,Sncg_class,Sst_class,Trp53i11_class,Zero
Enpp2,1.0163767359099307,0.8504671470063246,1.934075924693705,0.5023257449064715,0.3638194939383432,8.296299351869642,0.7813798534401327,0.8487728325036973,7.735359127242874,0.3199808601668128,1.5777977094724749,0.7329865558956701,0.9437476187622403,3.5226383825097227,4.46383881043488,3.6823219228183297,3.585349178320474,3.0816473066668104,6.181521191411553,6.064422735566068,8.148823925038268,1.5893748909076875,1.3235234113492442,1.8776979013313957,0.13890425885052354
Gabrd,0.10526885561720206,0.17440352458037078,0.02116567589917391,0.11647790492568919,0.28364163641448836,0.24752822747133532,0.2758962764269849,0.12169132291998487,0.05796441888649102,0.08902929025972532,0.09274511496099812,0.09317870177947216,0.11944733179650177,0.0,0.11876810687959614,0.07129325942696385,0.11377097451371442,0.31298481312650667,0.1897610526967937,0.0,0.18466667013080626,0.0865832279288255,0.193186078932104,0.2834871419656416,0.007342552090822547
Gad1,18.294323825223362,16.10518711953827,2.6671524728448825,12.134099701795252,1.7834360269192249,8.502260489870151,5.879016215219147,22.683603921782026,13.279910264300097,9.199614499857931,1.421680415780536,1.1177030216273542,11.825925538465679,9.235113649022669,9.212536748498945,2.149754054271093,10.499346616820405,27.08659060573998,1.5365801051853605,3.004536901965392,20.371670943184082,1.5080074214972121,7.85551416786582,5.495857120923633,0.21924627199848454
Gal,0.5278143467630524,0.5183259692772022,0.4748574926254561,0.4810382916746731,0.2647903963084883,0.582135969597937,0.6455591228241384,0.5799373604301185,0.6901096284191718,0.07797328730095816,0.7156674753015682,0.5894846935781312,0.5598042160478608,0.5702125268832423,0.9247790504665948,0.7580356966359054,0.3061643319289225,0.7272522330098014,0.4252436498833052,0.5655382305342704,2.1931659167923603,0.6091604049365251,0.6335289881723023,0.4267474753616966,0.10236601546456295
Gda,0.048185305192821,0.047773030911271414,0.045898255941108364,0.06553559614865509,0.16631183075810127,0.07624229442824351,0.23585174975110168,0.11515721576794151,0.03490421082451243,0.13194600595489414,0.21647406130586835,0.019464874981770124,0.04053665253971473,0.31671354621079484,0.03444330323512697,0.012741985929832535,0.05643773022162751,0.0,0.0,0.1488841654207617,0.15948277260280863,0.15860412745524544,0.08041655675510895,0.14590131070658124,0.003700175910962261
Gnrh1,0.023359401444272013,0.014298113505509245,0.017825227123301115,0.07149773672532601,0.06460141808479594,0.03984563275395267,0.0,0.1329181802382974,0.016864269038483537,0.0,0.049435105177923225,0.0,0.012082669933665623,0.0,0.03060816320217594,0.0066368085571512185,0.08428573432082417,0.0555818821949873,7.701216027461563e-05,0.05688688677319797,0.0,0.028781385041593752,0.016618759566873295,0.045600169023457204,0.0012404136309344758
Grin3a,0.6123222291209335,0.38500432810774177,0.5445416103740582,1.3083978126953677,1.3483792672779544,1.068339790360434,0.5070793381890912,1.8511279261936606,0.8404333751610755,0.8686633859506973,0.542433883450683,0.4423834200095706,0.7754538981293307,2.339581080826332,0.914587050920546,0.22516521803124345,1.2469223447745983,0.494006621492267,0.517780611022249,1.05405342651314,1.2565211473390547,0.9987810302266489,1.1155419963531923,2.5499833695709415,0.01722240321828914
Grm1,0.24697507510214933,0.191031476419406,0.24146527977596305,0.20752616494173254,0.15458185240079445,0.22794794485016248,0.04317068254111078,0.39536516026582963,0.18322216264986058,0.09529780897422173,0.12466398097133134,0.11187997893701905,0.20435337864355918,0.1340761731413442,0.1595578431253569,0.06638317446108492,0.24672663150456367,0.3237435441141973,0.15192784899592146,0.08934768982106589,0.2863513687857242,0.005265458985312785,0.121491685058343,0.2569326660415285,0.00548642974488237
Grm8,0.2652579459317121,0.0850842297109284,0.4688677234315403,0.23862219069196583,0.0,0.1250917817786134,0.15946229122139777,0.5920186335592518,0.1191012510315838,0.1910082799869991,0.3621632148979726,0.2679671463892593,0.1509609585307302,0.08193590719146643,0.13307560718110642,0.024731599589323784,0.0389607416867253,0.08076546008745364,0.17958852705417888,0.02828277642102799,0.18578667397545198,0.14723915686963146,0.10184489831314386,0.39522249989643365,0.004670350406981324
Hapln1,0.1531589606423556,0.2945209241798959,0.24101835127386376,0.20898163259178146,0.0936777448226962,0.05526818562050715,0.030295849746558256,0.013727536155482225,0.39751818895300217,0.0013496726444902124,0.32402179897955424,0.051036137609182665,0.14409232543017253,0.18296166956759088,0.12126357914662554,0.04015669997981759,0.032414176659314876,0.32614944933310314,0.061696356706260204,0.10769420719395364,0.2270328429860756,0.17157510872665815,0.10260267540947147,0.8305868124526865,0.0031523069628339286
Hcn1,0.0005410925918993527,0.031341090937377435,0.0,0.02955145091228535,0.061943522464937006,0.0,0.0005303364228801804,0.0,0.03510464049972412,0.0,0.02559284243994858,0.0008180396556699863,0.015040575824365897,0.21231850293145932,0.015729269661473113,0.004409228726521836,0.038832042751358535,0.0,0.0,0.027239102389038317,0.03170154040169675,0.0,0.1057119067483815,0.0,0.0005653551721701517
Htr2c,0.08310222047705865,0.07099876929596793,0.43442941037498567,0.08438428754376748,0.0,0.2014985234653597,0.07358409973997454,0.07536772470505256,0.2729005143301886,0.12996457320801338,0.26838091287364163,0.19875512894266187,0.18568690673098104,0.00019999585506644548,0.10661560762976652,0.05187013851122742,0.20080206089194913,0.006396535777704373,0.25373275876105866,0.05655193727096714,0.07435398418239994,0.018587468005592026,0.0992848464529478,0.0,0.00030289843383149033
Htr3a,0.16703627750284747,0.44848422881348726,0.0008695896064018128,0.2839667227812448,0.30410179896549316,0.22602278748110852,0.04826615935797407,0.5978531672263933,0.25836639773524306,0.08811546275485169,0.1342807473895538,0.01083170857483854,0.2135036563233684,0.4145031303270574,0.27124664410156646,0.03626028590703018,0.07702843707524186,0.6099266344411071,0.0005405286374348502,0.09797571791404577,0.30626717392464925,0.07704659470234008,0.17182214803765006,0.0,0.006659383021702148
